ccd,grid_row,grid_col,row_residue,column_residue,maximum_flux_difference,maximum_uncertainty_difference,phase_sum
3,1,1580,4,5,0.0,0.0,0.9999999999999997
3,1,1580,4,6,0.0,0.0,0.9999999999999993
3,1,1580,4,7,2.7755575615628914e-17,8.673617379884035e-19,0.9999999999999993
3,1,1580,4,8,0.0,0.0,0.9999999999999992
3,1,1580,5,0,0.0,0.0,1.0000000000000004
3,1,1580,5,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,1580,5,2,0.0,0.0,1.0
3,1,1580,5,3,0.0,0.0,1.0000000000000002
3,1,1580,5,4,0.0,0.0,0.9999999999999992
3,1,1580,5,5,0.0,0.0,0.9999999999999998
3,1,1580,5,6,0.0,0.0,0.9999999999999998
3,1,1580,5,7,2.7755575615628914e-17,8.673617379884035e-19,0.9999999999999996
3,1,1580,5,8,0.0,0.0,1.0
3,1,1580,6,0,0.0,0.0,0.9999999999999998
3,1,1580,6,1,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999999
3,1,1580,6,2,0.0,0.0,1.0
3,1,1580,6,3,0.0,0.0,1.0000000000000004
3,1,1580,6,4,0.0,0.0,0.9999999999999994
3,1,1580,6,5,0.0,0.0,0.9999999999999998
3,1,1580,6,6,0.0,0.0,0.9999999999999996
3,1,1580,6,7,2.7755575615628914e-17,8.673617379884035e-19,1.0000000000000004
3,1,1580,6,8,0.0,0.0,1.0000000000000004
3,1,1580,7,0,1.3877787807814457e-17,1.734723475976807e-18,1.0
3,1,1580,7,1,2.7755575615628914e-17,2.6020852139652106e-18,1.0000000000000007
3,1,1580,7,2,2.7755575615628914e-17,1.3010426069826053e-18,1.0
3,1,1580,7,3,2.7755575615628914e-17,4.336808689942018e-19,1.0
3,1,1580,7,4,2.7755575615628914e-17,8.673617379884035e-19,1.0
3,1,1580,7,5,2.7755575615628914e-17,8.673617379884035e-19,1.0000000000000009
3,1,1580,7,6,2.7755575615628914e-17,8.673617379884035e-19,0.9999999999999999
3,1,1580,7,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999996
3,1,1580,7,8,2.7755575615628914e-17,8.673617379884035e-19,1.0000000000000004
3,1,1580,8,0,0.0,0.0,0.9999999999999997
3,1,1580,8,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000007
3,1,1580,8,2,0.0,0.0,0.9999999999999994
3,1,1580,8,3,0.0,0.0,1.0000000000000004
3,1,1580,8,4,0.0,0.0,0.9999999999999994
3,1,1580,8,5,0.0,0.0,0.9999999999999996
3,1,1580,8,6,0.0,0.0,0.9999999999999993
3,1,1580,8,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999996
3,1,1580,8,8,0.0,0.0,0.9999999999999991
3,1,2092,0,0,0.0,0.0,1.0000000000000004
3,1,2092,0,1,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999996
3,1,2092,0,2,0.0,0.0,0.9999999999999996
3,1,2092,0,3,0.0,0.0,1.0
3,1,2092,0,4,0.0,0.0,0.9999999999999996
3,1,2092,0,5,0.0,0.0,0.9999999999999998
3,1,2092,0,6,0.0,0.0,0.9999999999999997
3,1,2092,0,7,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,2092,0,8,0.0,0.0,1.0000000000000007
3,1,2092,1,0,1.3877787807814457e-17,1.734723475976807e-18,1.0000000000000004
3,1,2092,1,1,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999993
3,1,2092,1,2,2.7755575615628914e-17,3.469446951953614e-18,1.0000000000000007
3,1,2092,1,3,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,2092,1,4,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999993
3,1,2092,1,5,2.7755575615628914e-17,3.469446951953614e-18,1.0000000000000004
3,1,2092,1,6,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999996
3,1,2092,1,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999998
3,1,2092,1,8,1.3877787807814457e-17,1.734723475976807e-18,0.9999999999999994
3,1,2092,2,0,0.0,0.0,1.0
3,1,2092,2,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,2092,2,2,0.0,0.0,1.0000000000000004
3,1,2092,2,3,0.0,0.0,0.9999999999999996
3,1,2092,2,4,0.0,0.0,0.9999999999999998
3,1,2092,2,5,0.0,0.0,1.0000000000000004
3,1,2092,2,6,0.0,0.0,0.9999999999999999
3,1,2092,2,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999998
3,1,2092,2,8,0.0,0.0,1.0
3,1,2092,3,0,0.0,0.0,0.9999999999999993
3,1,2092,3,1,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,2092,3,2,0.0,0.0,1.0000000000000002
3,1,2092,3,3,0.0,0.0,0.9999999999999998
3,1,2092,3,4,0.0,0.0,0.9999999999999999
3,1,2092,3,5,0.0,0.0,0.9999999999999999
3,1,2092,3,6,0.0,0.0,1.0
3,1,2092,3,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999998
3,1,2092,3,8,0.0,0.0,0.9999999999999997
3,1,2092,4,0,0.0,0.0,1.0000000000000009
3,1,2092,4,1,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999999
3,1,2092,4,2,0.0,0.0,1.0
3,1,2092,4,3,0.0,0.0,0.9999999999999997
3,1,2092,4,4,0.0,0.0,1.0
3,1,2092,4,5,0.0,0.0,1.0
3,1,2092,4,6,0.0,0.0,0.9999999999999998
3,1,2092,4,7,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000009
3,1,2092,4,8,0.0,0.0,0.9999999999999996
3,1,2092,5,0,0.0,0.0,1.0
3,1,2092,5,1,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999999
3,1,2092,5,2,0.0,0.0,1.0
3,1,2092,5,3,0.0,0.0,0.9999999999999996
3,1,2092,5,4,0.0,0.0,0.9999999999999999
3,1,2092,5,5,0.0,0.0,0.9999999999999997
3,1,2092,5,6,0.0,0.0,0.9999999999999989
3,1,2092,5,7,1.734723475976807e-18,1.734723475976807e-18,0.9999999999999998
3,1,2092,5,8,0.0,0.0,0.9999999999999999
3,1,2092,6,0,0.0,0.0,1.0000000000000004
3,1,2092,6,1,1.3877787807814457e-17,1.734723475976807e-18,0.9999999999999991
3,1,2092,6,2,0.0,0.0,1.0000000000000004
3,1,2092,6,3,0.0,0.0,0.9999999999999998
3,1,2092,6,4,0.0,0.0,0.9999999999999998
3,1,2092,6,5,0.0,0.0,0.9999999999999998
3,1,2092,6,6,0.0,0.0,1.0
3,1,2092,6,7,1.734723475976807e-18,1.734723475976807e-18,1.0000000000000004
3,1,2092,6,8,0.0,0.0,0.9999999999999993
3,1,2092,7,0,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,2092,7,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,2092,7,2,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999997
3,1,2092,7,3,1.3877787807814457e-17,1.734723475976807e-18,1.0
3,1,2092,7,4,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999992
3,1,2092,7,5,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,2092,7,6,2.7755575615628914e-17,8.673617379884035e-19,1.0
3,1,2092,7,7,2.7755575615628914e-17,8.673617379884035e-19,0.9999999999999998
3,1,2092,7,8,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,2092,8,0,0.0,0.0,0.9999999999999996
3,1,2092,8,1,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999991
3,1,2092,8,2,0.0,0.0,0.9999999999999999
3,1,2092,8,3,0.0,0.0,0.9999999999999997
3,1,2092,8,4,0.0,0.0,0.9999999999999997
3,1,2092,8,5,0.0,0.0,1.0000000000000002
3,1,2092,8,6,0.0,0.0,1.0000000000000009
3,1,2092,8,7,1.3877787807814457e-17,8.673617379884035e-19,1.000000000000001
3,1,2092,8,8,0.0,0.0,1.0000000000000004
3,513,45,0,0,0.0,0.0,1.0
3,513,45,0,1,2.7755575615628914e-17,5.421010862427522e-20,1.0000000000000002
3,513,45,0,2,0.0,0.0,1.0
3,513,45,0,3,0.0,0.0,0.9999999999999996
3,513,45,0,4,0.0,0.0,1.0000000000000002
3,513,45,0,5,0.0,0.0,0.9999999999999994
3,513,45,0,6,0.0,0.0,0.9999999999999998
3,513,45,0,7,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000007
3,513,45,0,8,0.0,0.0,0.9999999999999991
3,513,45,1,0,3.469446951953614e-18,8.673617379884035e-19,0.9999999999999998
3,513,45,1,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000009
3,513,45,1,2,1.3877787807814457e-17,1.734723475976807e-18,1.0
3,513,45,1,3,6.938893903907228e-18,1.734723475976807e-18,1.0000000000000002
3,513,45,1,4,1.3877787807814457e-17,3.469446951953614e-18,0.9999999999999998
3,513,45,1,5,1.3877787807814457e-17,1.734723475976807e-18,1.0000000000000002
3,513,45,1,6,2.7755575615628914e-17,3.469446951953614e-18,1.0000000000000002
