file_key,sign,cluster_id,start,duration,field,unit,status,event_mean,predicted_event_mean,mean_residual,sum_residual,side_mad,side_rms,mad_displacement,slope_per_second
CH_PR100006_TG000302_V0300,positive,1,517,3,CENTROID_Y,pixel,AVAILABLE,827.1980183919271,827.0600662360434,0.13795215588365387,0.41385646765096157,0.12524469808440675,0.10468418305463321,1.1014610438094803,-5.3065465516152394e-05
CH_PR100006_TG000302_V0300,positive,1,517,3,OFFSET_X,pixel,AVAILABLE,0.2962849934895833,0.2753601084204604,0.02092488506912296,0.06277465520736888,0.11998893517966294,0.14391369921700217,0.17439012220411423,-4.108133616322223e-06
CH_PR100006_TG000302_V0300,positive,1,517,3,OFFSET_Y,pixel,AVAILABLE,-0.8019816080729166,-0.9399337639565706,0.13795215588365387,0.41385646765096157,0.12524469808440675,0.10468418305463321,1.1014610438094803,-5.3065465516152394e-05
CH_PR100006_TG000302_V0300,positive,2,1064,2,FLUX,electron,AVAILABLE,390971986.83978426,390837941.3219526,134045.51783169503,268091.03566339007,16879.092328401915,15421.000020081625,7.941512210709392,23.92660598634689
CH_PR100006_TG000302_V0300,positive,2,1064,2,DARK,electron,AVAILABLE,23520.43179852563,23501.635372314642,18.796426210988095,37.59285242197619,56.61149089471703,62.39263412587032,0.33202492840092596,-0.019995283067936253
CH_PR100006_TG000302_V0300,positive,2,1064,2,BACKGROUND,electron,AVAILABLE,535662.6183914514,552490.4376184222,-16827.819226970787,-33655.638453941574,5158.802460990159,4439.426374664493,-3.2619623166848157,-21.186755983841497
CH_PR100006_TG000302_V0300,positive,2,1064,2,CONTA_LC,ratio,AVAILABLE,9.49891348870316e-06,9.636633345162957e-06,-1.37719856459797e-07,-2.75439712919594e-07,3.5481840186998216e-07,2.767995780031085e-07,-0.38814180925785907,-9.550910935924742e-11
CH_PR100006_TG000302_V0300,positive,2,1064,2,CONTA_LC_ERR,ratio,AVAILABLE,6.68373491502324e-07,6.68373491502324e-07,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,2,1064,2,SMEARING_LC,electron,AVAILABLE,315809.1330442936,41119.87162584768,274689.26141844597,549378.5228368919,393.52933606111594,981.9885698817938,698.0146999149922,-0.38428030776478606
CH_PR100006_TG000302_V0300,positive,2,1064,2,SMEARING_LC_ERR,ratio,AVAILABLE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,2,1064,2,ROLL_ANGLE,degree,AVAILABLE,18.80543475769383,27.50921932393561,-8.70378456624178,-17.40756913248356,6.65488512840089,5.039573168588128,-1.307879008924865,-0.08161259929729318
CH_PR100006_TG000302_V0300,positive,2,1064,2,LOCATION_X,pixel,AVAILABLE,280.0,280.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,2,1064,2,LOCATION_Y,pixel,AVAILABLE,828.0,828.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,2,1064,2,CENTROID_X,pixel,AVAILABLE,280.24937438964844,280.2662938416831,-0.016919452034638426,-0.03383890406927685,0.14998634603504782,0.13800436381627612,-0.11280661528139901,3.7862595523526106e-05
