epoch1_on: eight native caches and all cropped baseline scores exact
epoch2_on: eight native caches and all cropped baseline scores exact
epoch3_on: eight native caches and all cropped baseline scores exact
44/149 fresh006 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
45/149 fresh007 {'neighbor9': 16, 'off_window': 16, 'remaining_aggregate': 16, 'combined': 16, 'centered_receiver': 16, 'centered_receiver_off_match': 16, 'centered_receiver_off_match_aggregate': 16}
46/149 fresh008 {'neighbor9': 117, 'off_window': 117, 'remaining_aggregate': 16, 'combined': 16, 'centered_receiver': 117, 'centered_receiver_off_match': 117, 'centered_receiver_off_match_aggregate': 16}
47/149 fresh009 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1}
48/149 fresh010 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
49/149 fresh011 {'neighbor9': 60, 'off_window': 60, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 60, 'centered_receiver_off_match': 60, 'centered_receiver_off_match_aggregate': 0}
50/149 fresh012 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
51/149 fresh013 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
52/149 fresh014 {'neighbor9': 16, 'off_window': 16, 'remaining_aggregate': 14, 'combined': 14, 'centered_receiver': 16, 'centered_receiver_off_match': 16, 'centered_receiver_off_match_aggregate': 14}
53/149 fresh015 {'neighbor9': 490, 'off_window': 490, 'remaining_aggregate': 21, 'combined': 21, 'centered_receiver': 490, 'centered_receiver_off_match': 490, 'centered_receiver_off_match_aggregate': 21}
54/149 fresh016 {'neighbor9': 6, 'off_window': 6, 'remaining_aggregate': 6, 'combined': 6, 'centered_receiver': 6, 'centered_receiver_off_match': 6, 'centered_receiver_off_match_aggregate': 6}
55/149 fresh017 {'neighbor9': 3, 'off_window': 2, 'remaining_aggregate': 3, 'combined': 2, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 3}
56/149 fresh018 {'neighbor9': 283, 'off_window': 283, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 306, 'centered_receiver_off_match': 306, 'centered_receiver_off_match_aggregate': 0}
57/149 fresh019 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
58/149 fresh020 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
59/149 fresh021 {'neighbor9': 17, 'off_window': 17, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 17, 'centered_receiver_off_match': 17, 'centered_receiver_off_match_aggregate': 12}
60/149 fresh022 {'neighbor9': 98, 'off_window': 98, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 98, 'centered_receiver_off_match': 98, 'centered_receiver_off_match_aggregate': 12}
61/149 fresh023 {'neighbor9': 4, 'off_window': 4, 'remaining_aggregate': 4, 'combined': 4, 'centered_receiver': 4, 'centered_receiver_off_match': 4, 'centered_receiver_off_match_aggregate': 4}
62/149 fresh024 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
63/149 fresh025 {'neighbor9': 42, 'off_window': 42, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 42, 'centered_receiver_off_match': 42, 'centered_receiver_off_match_aggregate': 0}
64/149 fresh026 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
65/149 fresh027 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
66/149 fresh028 {'neighbor9': 17, 'off_window': 17, 'remaining_aggregate': 14, 'combined': 14, 'centered_receiver': 17, 'centered_receiver_off_match': 17, 'centered_receiver_off_match_aggregate': 14}
67/149 fresh029 {'neighbor9': 723, 'off_window': 723, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 814, 'centered_receiver_off_match': 814, 'centered_receiver_off_match_aggregate': 14}
68/149 fresh030 {'neighbor9': 12, 'off_window': 12, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 12, 'centered_receiver_off_match': 12, 'centered_receiver_off_match_aggregate': 12}
69/149 fresh031 {'neighbor9': 8, 'off_window': 3, 'remaining_aggregate': 8, 'combined': 3, 'centered_receiver': 8, 'centered_receiver_off_match': 8, 'centered_receiver_off_match_aggregate': 8}
70/149 fresh032 {'neighbor9': 310, 'off_window': 310, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 435, 'centered_receiver_off_match': 435, 'centered_receiver_off_match_aggregate': 1}
71/149 fresh033 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
72/149 fresh034 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
73/149 fresh035 {'neighbor9': 16, 'off_window': 16, 'remaining_aggregate': 7, 'combined': 7, 'centered_receiver': 16, 'centered_receiver_off_match': 16, 'centered_receiver_off_match_aggregate': 7}
74/149 fresh036 {'neighbor9': 58, 'off_window': 58, 'remaining_aggregate': 7, 'combined': 7, 'centered_receiver': 58, 'centered_receiver_off_match': 58, 'centered_receiver_off_match_aggregate': 7}
75/149 fresh037 {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 2, 'combined': 2, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2}
76/149 fresh038 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
77/149 fresh039 {'neighbor9': 42, 'off_window': 42, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 42, 'centered_receiver_off_match': 42, 'centered_receiver_off_match_aggregate': 0}
78/149 fresh040 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
79/149 fresh041 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
80/149 fresh042 {'neighbor9': 72, 'off_window': 72, 'remaining_aggregate': 69, 'combined': 69, 'centered_receiver': 72, 'centered_receiver_off_match': 72, 'centered_receiver_off_match_aggregate': 69}
81/149 fresh043 {'neighbor9': 691, 'off_window': 691, 'remaining_aggregate': 130, 'combined': 130, 'centered_receiver': 1004, 'centered_receiver_off_match': 1004, 'centered_receiver_off_match_aggregate': 278}
82/149 fresh044 {'neighbor9': 87, 'off_window': 87, 'remaining_aggregate': 87, 'combined': 87, 'centered_receiver': 87, 'centered_receiver_off_match': 87, 'centered_receiver_off_match_aggregate': 87}
