name,camera,ccd,grid_row,grid_col,row_residue,column_residue,phase_sum,uncertainty_entry_sum
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,7,8,0.9999999999999996,0.13288646135979798
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,0,0.9999999999999999,0.1429479803672801
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,1,1.0,0.13074097802448098
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,2,1.0000000000000004,0.11976790186444596
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,3,1.0000000000000013,0.11798866905760699
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,4,1.0000000000000004,0.12144908492536557
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,5,0.9999999999999994,0.1299904558166017
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,6,1.0000000000000004,0.12002853265576979
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,7,0.9999999999999997,0.12523620712445044
tess2019107181902-prf-4-4-row0513-col0557.fits,4,4,513,557,8,8,1.0000000000000002,0.13087086616526647
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,0,1.0000000000000004,0.1036875698780684
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,1,1.0000000000000002,0.1036039779283503
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,2,0.9999999999999996,0.09668076660253602
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,3,1.0000000000000007,0.10903832455802873
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,4,1.0000000000000002,0.09980563094487607
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,5,1.0000000000000007,0.11244374236808297
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,6,0.9999999999999999,0.11416663282086387
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,7,1.0000000000000004,0.10502558090588915
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,0,8,1.0,0.11173957848160926
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,0,0.9999999999999998,0.09793262583023726
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,1,0.9999999999999992,0.10218407204846253
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,2,0.9999999999999996,0.0981809717086192
