sector,context,cadence,time_spacecraft_btjd,quaternion_rows,finite_fom_rows,minimum_fom,finite_guide_count_rows,minimum_guides_used
32,6,4163716,2191.2776497229675,10,10,236.0,10,199.0
32,6,4163717,2191.2778812043466,10,10,236.0,10,199.0
32,6,4163718,2191.278112685725,10,10,236.0,10,198.0
32,6,4163719,2191.278344167104,10,10,236.0,10,199.0
32,6,4163720,2191.2785756484823,10,10,236.0,10,199.0
32,6,4163721,2191.278807129861,10,10,236.0,10,199.0
32,6,4163722,2191.2790386112397,10,10,236.0,10,199.0
32,6,4163723,2191.2792700926184,10,10,236.0,10,199.0
32,6,4163724,2191.279501573997,10,10,236.0,10,199.0
32,6,4163725,2191.279733055376,10,10,236.0,10,199.0
32,6,4163726,2191.2799645367545,10,10,236.0,10,198.0
32,6,4163727,2191.2801960181337,10,10,236.0,10,199.0
32,6,4163728,2191.2804274995133,10,10,236.0,10,199.0
32,6,4163729,2191.280658980892,10,10,236.0,10,199.0
32,6,4163730,2191.2808904622707,10,10,236.0,10,199.0
32,6,4163731,2191.2811219436494,10,10,236.0,10,198.0
32,6,4163732,2191.281353425028,10,10,236.0,10,199.0
32,6,4163733,2191.281584906407,10,10,236.0,10,198.0
32,6,4163734,2191.2818163877855,10,10,236.0,10,199.0
32,6,4163735,2191.282047869164,10,10,236.0,10,199.0
32,6,4163736,2191.282279350543,10,10,236.0,10,198.0
32,6,4163737,2191.2825108319216,10,10,236.0,10,199.0
32,6,4163738,2191.2827423133,10,10,236.0,10,198.0
32,6,4163739,2191.282973794679,10,10,236.0,10,198.0
32,6,4163740,2191.2832052760573,10,10,236.0,10,199.0
32,6,4163741,2191.2834367574364,10,10,236.0,10,199.0
32,6,4163742,2191.2836682388147,10,10,236.0,10,199.0
32,6,4163743,2191.283899720194,10,10,236.0,10,199.0
32,6,4163744,2191.284131201572,10,10,236.0,10,199.0
32,6,4163745,2191.2843626829513,10,10,236.0,10,199.0
32,6,4163746,2191.2845941643295,10,10,236.0,10,199.0
32,6,4163747,2191.284825645709,10,10,236.0,10,199.0
32,6,4163748,2191.2850571270887,10,10,236.0,10,198.0
32,6,4163749,2191.285288608467,10,10,236.0,10,199.0
32,6,4163750,2191.285520089846,10,10,236.0,10,199.0
32,6,4163751,2191.2857515712244,10,10,236.0,10,198.0
32,6,4163752,2191.2859830526036,10,10,236.0,10,198.0
32,6,4163753,2191.286214533982,10,10,236.0,10,199.0
32,6,4163754,2191.286446015361,10,10,236.0,10,199.0
32,6,4163755,2191.2866774967392,10,10,236.0,10,199.0
32,6,4163756,2191.286908978118,10,10,236.0,10,199.0
32,6,4163757,2191.2871404594966,10,10,236.0,10,199.0
32,6,4163758,2191.2873719408753,10,10,236.0,10,199.0
32,6,4163759,2191.287603422254,10,10,236.0,10,199.0
32,6,4163760,2191.2878349036328,10,10,236.0,10,199.0
32,6,4163761,2191.2880663850115,10,10,236.0,10,199.0
32,6,4163762,2191.28829786639,10,10,236.0,10,199.0
32,6,4163763,2191.288529347769,10,10,236.0,10,199.0
32,6,4163764,2191.2887608291476,10,10,236.0,10,199.0
32,6,4163765,2191.2889923105263,10,10,236.0,10,198.0
32,6,4163766,2191.2892237919054,10,10,236.0,10,199.0
32,6,4163767,2191.289455273285,10,10,236.0,10,199.0
