best_free_drift_hz_s,best_free_frequency_mhz,best_free_snr,best_stationary_frequency_mhz,best_stationary_offset_from_prediction_hz,best_stationary_snr,candidate_ordinal,candidate_track_snr,epoch,kind,predicted_drift_hz_s,predicted_end_mhz,predicted_mid_mhz,predicted_start_mhz,rest_frequency_mhz,scan,width_channels,window_id
0.11224681315144046,1400.8253733627498,53.70132064819336,1400.8253733627498,99.68961330741877,12.282368659973145,3,-0.5105262994766235,3,off,-0.43331417344647366,1400.8252143204081,1400.8252736731365,1400.8253329636336,1400.7872198820114,epoch3_off,9,m11_1400p5
0.1734723475976807,1400.8259545080364,55.279052734375,1400.8259936235845,92.91937612943002,45.72345733642578,4,8.446264266967773,1,on,-0.33937458898831036,1400.825854208585,1400.8259007042084,1400.825947130761,1400.8263857215643,epoch1_on,9,m11_1400p5
0.25510639352600106,1400.8258734829724,8.765948295593262,1400.8258148096502,28.807558010157663,2.100346565246582,4,0.5779797434806824,1,off,-0.3413404752292441,1400.825739238383,1400.8257860020922,1400.8258326988268,1400.8263857215643,epoch1_off,9,m11_1400p5
-0.6734808789086427,1400.8257617242634,17.710365295410156,1400.8257309906185,59.99960740155075,8.586027145385742,4,9.412846565246582,2,on,-0.3432395347227675,1400.8256239683778,1400.825670991011,1400.825717948792,1400.8263857215643,epoch2_on,9,m11_1400p5
-0.29592341649016124,1400.8255102671683,49.23980712890625,1400.8254599757493,-95.03135288468911,24.551345825195312,4,1.3122607469558716,2,off,-0.34508228230336807,1400.8255077332783,1400.8255550071021,1400.8256022182445,1400.8263857215643,epoch2_off,9,m11_1400p5
-0.08163404592832034,1400.8254292421043,17.08726692199707,1400.8254264481366,-11.96466882902314,13.238048553466797,4,5.870014190673828,3,on,-0.3468619126426123,1400.8253908964405,1400.8254384128054,1400.8254858686769,1400.8263857215643,epoch3_on,9,m11_1400p5
-0.0714297901872803,1400.825401302427,67.62329864501953,1400.8253929205239,70.64531155265286,66.09374237060547,4,0.4707423150539398,3,off,-0.348562682553625,1400.825274527112,1400.8253222752123,1400.8253699650263,1400.8263857215643,epoch3_off,9,m11_1400p5
0.30612767223120124,1424.5673487894237,10.628663063049316,1424.5674186386168,26.787239221448544,7.590763092041016,5,9.447071075439453,1,on,0.25240206477022537,1424.567426368585,1424.5673918513776,1424.5673572598484,1424.5275177061558,epoch1_on,9,m11_1425p0
0.23469788204392097,1424.5674521662295,10.447410583496094,1424.5674940757453,17.5232307810802,6.128194808959961,5,9.112815856933594,1,off,0.2502850736644856,1424.5675107809632,1424.5674765525146,1424.5674422518675,1424.5275177061558,epoch1_off,9,m11_1425p0
0.2857191607491212,1424.567527603358,7.559535026550293,1424.567558337003,-1.9653346043924103,5.0875115394592285,5,7.396860599517822,2,on,0.24823562762331242,1424.5675942512878,1424.5675603023376,1424.567526283339,1424.5275177061558,epoch2_on,9,m11_1425p0
-1.0306298298450443,1424.56770921126,3.8700225353240967,1424.5676673017442,23.68150012443948,2.862499475479126,5,2.1084048748016357,2,off,0.2462426886448097,1424.5676772974443,1424.567643620244,1424.5676098751705,1424.5275177061558,epoch2_off,9,m11_1425p0
-0.4183744853826417,1424.567781854421,4.206457614898682,1424.5677064172924,-19.85989047170733,3.856759786605835,5,1.0465649366378784,3,on,0.2443131716734394,1424.567759691341,1424.5677262771828,1424.567692797377,1424.5275177061558,epoch3_on,9,m11_1425p0
1.2449192004068852,1424.5678992010653,4.208553791046143,1424.5677539147437,-53.65261267797905,2.6390650272369385,5,0.10417637228965759,3,off,0.2424644275978275,1424.5678407295284,1424.5678075673563,1424.5677743417582,1424.5275177061558,epoch3_off,9,m11_1425p0
