rank,target,file_key,event_id,sign,start_row_zero_based,duration_rows,classification,image_report,bounded_followup
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_N0,negative,975,1,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_N1,negative,1511,2,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_N2,negative,1587,1,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_N3,negative,2679,1,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_N4,negative,3264,1,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P0,positive,1816,1,SPATIALLY_STRUCTURED,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P1,positive,1849,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P2,positive,2573,1,SPATIALLY_STRUCTURED,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P3,positive,2770,1,CORRECTION_LINKED,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P4,positive,3082,1,SPATIALLY_STRUCTURED,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P5,positive,3323,1,SPATIALLY_STRUCTURED,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P6,positive,3408,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_N0,negative,802,1,CORRECTION_LINKED,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100018_TG007801_V0300,TG007801_P0,positive,17,1,CORRECTION_LINKED,results_ls8ay_images/REPORT.md,LS8AZ
21,2MASS J11285624+1010395,CH_PR100018_TG010801_V0300,TG010801_P0,positive,25,1,CORRECTION_LINKED,results_ls8bb_images/REPORT.md,
21,2MASS J11285624+1010395,CH_PR100018_TG010801_V0300,TG010801_N0,negative,24,1,CORRECTION_LINKED,results_ls8bb_images/REPORT.md,
23,GJ 494,CH_PR100018_TG007401_V0300,TG007401_P0,positive,53,1,CORRECTION_LINKED,results_ls8be_images/REPORT.md,
